Date	Species	Strain	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
07/12/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	674
07/12/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	18
07/12/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	3
07/12/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	615
07/12/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	88
07/12/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	61
07/12/22	Cg	yH002	wt	MM	45 min	2 hr	0 mM	1000	664
07/12/22	Cg	yH002	wt	MO	45 min	2 hr	80 mM	1000	27
07/12/22	Cg	yH002	wt	MO	45 min	2 hr	100 mM	1000	7
07/12/22	Cg	yH002	wt	PM	45 min	2 hr	0 mM	1000	548
07/12/22	Cg	yH002	wt	PO	45 min	2 hr	80 mM	1000	96
07/12/22	Cg	yH002	wt	PO	45 min	2 hr	100 mM	1000	48
07/12/22	Cg	yH271	cta1Δ	MM	45 min	2 hr	0 mM	1000	535
07/12/22	Cg	yH271	cta1Δ	MO	45 min	2 hr	2.2 mM	1000	23
07/12/22	Cg	yH271	cta1Δ	MO	45 min	2 hr	2.5 mM	100	48
07/12/22	Cg	yH271	cta1Δ	PM	45 min	2 hr	0 mM	1000	555
07/12/22	Cg	yH271	cta1Δ	PO	45 min	2 hr	2.2 mM	1000	12
07/12/22	Cg	yH271	cta1Δ	PO	45 min	2 hr	2.5 mM	100	53
07/12/22	Cg	yH272	cta1Δ	MM	45 min	2 hr	0 mM	1000	569
07/12/22	Cg	yH272	cta1Δ	MO	45 min	2 hr	2.2 mM	1000	32
07/12/22	Cg	yH272	cta1Δ	MO	45 min	2 hr	2.5 mM	100	80
07/12/22	Cg	yH272	cta1Δ	PM	45 min	2 hr	0 mM	1000	539
07/12/22	Cg	yH272	cta1Δ	PO	45 min	2 hr	2.2 mM	1000	13
07/12/22	Cg	yH272	cta1Δ	PO	45 min	2 hr	2.5 mM	100	104
07/11/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	785
07/11/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	37
07/11/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	100	179
07/11/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	667
07/11/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	123
07/11/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	100	746
07/11/22	Cg	yH002	wt	MM	45 min	2 hr	0 mM	1000	554
07/11/22	Cg	yH002	wt	MO	45 min	2 hr	80 mM	1000	18
07/11/22	Cg	yH002	wt	MO	45 min	2 hr	100 mM	100	62
07/11/22	Cg	yH002	wt	PM	45 min	2 hr	0 mM	1000	590
07/11/22	Cg	yH002	wt	PO	45 min	2 hr	80 mM	1000	111
07/11/22	Cg	yH002	wt	PO	45 min	2 hr	100 mM	100	813
07/11/22	Cg	yH271	cta1Δ	MM	45 min	2 hr	0 mM	1000	496
07/11/22	Cg	yH271	cta1Δ	MO	45 min	2 hr	2.2 mM	1000	18
07/11/22	Cg	yH271	cta1Δ	MO	45 min	2 hr	2.5 mM	100	63
07/11/22	Cg	yH271	cta1Δ	PM	45 min	2 hr	0 mM	1000	520
07/11/22	Cg	yH271	cta1Δ	PO	45 min	2 hr	2.2 mM	1000	22
07/11/22	Cg	yH271	cta1Δ	PO	45 min	2 hr	2.5 mM	100	148
