Date	Species	Strain	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
07/16/22	Cg	yH002	wt	MO	45 min	2 hr	20 mM	1000	109
07/16/22	Cg	yH002	wt	MO	45 min	2 hr	40 mM	1000	75
07/16/22	Cg	yH002	wt	MO	45 min	2 hr	60 mM	1000	19
07/16/22	Cg	yH002	wt	MO	45 min	2 hr	80 mM	1000	13
07/16/22	Cg	yH002	wt	MO	45 min	2 hr	100 mM	1000	4
07/16/22	Cg	yH002	wt	PM	45 min	2 hr	0 mM	1000	494
07/16/22	Cg	yH002	wt	PO	45 min	2 hr	20 mM	1000	159
07/16/22	Cg	yH002	wt	PO	45 min	2 hr	40 mM	1000	163
07/16/22	Cg	yH002	wt	PO	45 min	2 hr	60 mM	1000	88
07/16/22	Cg	yH002	wt	PO	45 min	2 hr	80 mM	1000	92
07/16/22	Cg	yH002	wt	PO	45 min	2 hr	100 mM	1000	63
07/13/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	772
07/13/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	36
07/13/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	10
07/13/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	570
07/13/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	107
07/13/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	88
07/13/22	Cg	yH002	wt	MM	45 min	2 hr	0 mM	1000	779
07/13/22	Cg	yH002	wt	MO	45 min	2 hr	80 mM	1000	33
07/13/22	Cg	yH002	wt	MO	45 min	2 hr	100 mM	1000	17
07/13/22	Cg	yH002	wt	PM	45 min	2 hr	0 mM	1000	721
07/13/22	Cg	yH002	wt	PO	45 min	2 hr	80 mM	1000	163
07/13/22	Cg	yH002	wt	PO	45 min	2 hr	100 mM	1000	124
07/13/22	Cg	yH609	rim15Δ	MM	45 min	2 hr	0 mM	1000	770
07/13/22	Cg	yH609	rim15Δ	MO	45 min	2 hr	60 mM	1000	40
07/13/22	Cg	yH609	rim15Δ	MO	45 min	2 hr	80 mM	1000	21
07/13/22	Cg	yH609	rim15Δ	PM	45 min	2 hr	0 mM	1000	779
07/13/22	Cg	yH609	rim15Δ	PO	45 min	2 hr	60 mM	1000	111
07/13/22	Cg	yH609	rim15Δ	PO	45 min	2 hr	80 mM	1000	84
07/13/22	Cg	yH610	rim15Δ	MM	45 min	2 hr	0 mM	1000	749
07/13/22	Cg	yH610	rim15Δ	MO	45 min	2 hr	60 mM	1000	38
07/13/22	Cg	yH610	rim15Δ	MO	45 min	2 hr	80 mM	1000	14
07/13/22	Cg	yH610	rim15Δ	PM	45 min	2 hr	0 mM	1000	543
07/13/22	Cg	yH610	rim15Δ	PO	45 min	2 hr	60 mM	1000	85
07/13/22	Cg	yH610	rim15Δ	PO	45 min	2 hr	80 mM	1000	53
