Date,Species,Strain,Genotype,Group,Len_1,Len_2,H2O2,Dilutions,Count,MO/MM,PO/PM,Experimenter
d081122,yH154,Sc,wt,PO,45min,2hr,2mM,1000,18,,0.0703125,JL
d081122,yH154,Sc,wt,PO,45min,2hr,4mM,1000,14,,0.0546875,JL
d081122,yH154,Sc,wt,PO,45min,2hr,6mM,1000,11,,0.04296875,JL
d081122,yH154,Sc,wt,PO,45min,2hr,8mM,500,13,,0.025390625,JL
d081122,yH154,Sc,wt,PO,45min,2hr,10mM,500,3,,0.005859375,JL
d090122,yH181,Cg,wt,MM,45min,2hr,Mock,1000,965,1,,HT
d090122,yH181,Cg,wt,MO,45min,2hr,15mM,1000,219,0.2269430052,,HT
d090122,yH181,Cg,wt,MO,45min,2hr,20mM,1000,173,0.1792746114,,HT
d090122,yH181,Cg,wt,MO,45min,2hr,25mM,1000,180,0.1865284974,,HT
d090122,yH181,Cg,wt,MO,45min,2hr,30mM,1000,150,0.1554404145,,HT
d090122,yH181,Cg,wt,MO,45min,2hr,35mM,1000,89,0.09222797927,,HT
d090122,yH181,Cg,wt,PM,45min,2hr,Mock,1000,718,,1,HT
d090122,yH181,Cg,wt,PO,45min,2hr,15mM,1000,273,,0.3802228412,HT
d090122,yH181,Cg,wt,PO,45min,2hr,20mM,1000,264,,0.3676880223,HT
d090122,yH181,Cg,wt,PO,45min,2hr,25mM,1000,249,,0.3467966574,HT
d090122,yH181,Cg,wt,PO,45min,2hr,30mM,1000,221,,0.3077994429,HT
d090122,yH181,Cg,wt,PO,45min,2hr,35mM,1000,202,,0.2813370474,HT
d090122,yH154,Sc,wt,MM,45min,2hr,Mock,1000,268,1,,HT
d090122,yH154,Sc,wt,MO,45min,2hr,1.5mM,1000,36,0.1343283582,,HT
d090122,yH154,Sc,wt,MO,45min,2hr,2mM,1000,25,0.09328358209,,HT
d090122,yH154,Sc,wt,MO,45min,2hr,2.5mM,1000,48,0.1791044776,,HT
d090122,yH154,Sc,wt,MO,45min,2hr,3mM,1000,21,0.07835820896,,HT
d090122,yH154,Sc,wt,MO,45min,2hr,3.5mM,1000,10,0.03731343284,,HT
d090122,yH154,Sc,wt,PM,45min,2hr,Mock,1000,221,,1,HT
d090122,yH154,Sc,wt,PO,45min,2hr,1.5mM,1000,24,,0.1085972851,HT
d090122,yH154,Sc,wt,PO,45min,2hr,2mM,1000,31,,0.1402714932,HT
d090122,yH154,Sc,wt,PO,45min,2hr,2.5mM,1000,25,,0.1131221719,HT
d090122,yH154,Sc,wt,PO,45min,2hr,3mM,1000,26,,0.1176470588,HT
d090122,yH154,Sc,wt,PO,45min,2hr,3.5mM,1000,18,,0.0814479638,HT
d090122,yH149,Kl,wt,MM,45min,2hr,Mock,1000,336,1,,HT
d090122,yH149,Kl,wt,MO,45min,2hr,1.5mM,1000,17,0.0505952381,,HT
d090122,yH149,Kl,wt,MO,45min,2hr,2mM,1000,4,0.0119047619,,HT
d090122,yH149,Kl,wt,MO,45min,2hr,2.5mM,1000,8,0.02380952381,,HT
d090122,yH149,Kl,wt,MO,45min,2hr,3mM,1000,5,0.01488095238,,HT
d090122,yH149,Kl,wt,MO,45min,2hr,3.5mM,1000,7,0.02083333333,,HT
d090122,yH149,Kl,wt,PM,45min,2hr,Mock,1000,163,,1,HT
d090122,yH149,Kl,wt,PO,45min,2hr,1.5mM,1000,21,,0.1288343558,HT
