Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,H1,17326,7053,7716,4197.51,52.46,45.53
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,C2,16653,7804,9484,4319.82,50.18,45.5
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,D2,16584,7773,9315,4396.21,50.83,45.2
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,A4,15805,8351,9306,4580.71,52.6,45.5
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,B4,14944,7834,7980,4658.78,53.65,45.03
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,C4,15502,8711,9485,4478.38,48.14,42.75
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,D4,15804,9051,9148,4444.5,45.51,41.69
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,G3,16463,9568,10381,4701.14,45.6,39.59
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,H3,16421,9539,10184,4525.08,43.5,37.92
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,E2,16856,5966,6709,3113.08,47.77,43.18
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,F2,16229,5523,6417,3118.39,50.68,45.02
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,G2,16817,6174,6507,3142.37,46.89,42.77
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,E4,15639,7380,7475,3419.33,43.2,39.27
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,F4,17335,6759,8112,3308.13,45.24,42.51
Rep2-0Pi-Ctrl,d121721-0min-0Pi-gtr1-R2,0min,G4,17108,7653,8115,3517.8,43.36,39.75
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,A5,15026,16080,16090,7982.01,46.57,45.21
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,A6,15282,17354,18290,8756.45,47.33,46.68
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,A7,15086,10743,10013,5468.61,46.79,42.07
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,A8,14774,11329,12327,5556.68,45.44,41.81
