GeneID	S3	S4	S19	S20	S20prime
CAGL0B02255g	328	394	593	688	906
CAGL0B02277g	284	349	85	105	132
CAGL0B02299g	77	106	106	139	211
CAGL0B02321g	1291	1611	837	938	1264
CAGL0B02343g	22	43	24	23	29
CAGL0B02365g	283	418	435	777	992
CAGL0B02387g	58	63	406	667	923
CAGL0B02409g	269	349	371	594	772
CAGL0B02431g	395	423	2900	4694	5870
CAGL0B02453g	226	302	551	887	1214
CAGL0B02475g	32	50	28650	43769	59178
CAGL0B02497g	1188	1551	996	1685	2036
CAGL0B02519g	813	1111	432	623	799
CAGL0B02541g	509	626	654	810	1061
CAGL0B02563g	278	407	9221	12412	16324
CAGL0B02585g	1860	2172	1060	1312	1824
CAGL0B02607g	1028	1260	385	471	643
CAGL0B02629g	385	453	608	787	884
CAGL0B02651g	0	1	6	17	22
CAGL0B02673g	218	298	267	361	465
CAGL0B02695g	169	235	670	917	1002
CAGL0B02717g	4267	6052	5574	7300	9636
CAGL0B02739g	203	291	356	430	558
CAGL0B02755g	93	109	225	298	386
CAGL0B02761g	124	148	134	178	236
CAGL0B02772g	94	172	366	511	555
CAGL0B02794g	679	760	1163	1419	1797
CAGL0B02816g	157	183	171	193	225
CAGL0B02838g	143	208	209	271	368
CAGL0B02860g	137	174	2942	3780	5166
CAGL0B02882g	5	5	370	411	512
CAGL0B02904g	2	6	33	30	40
CAGL0B02926g	3	1	1734	3116	4186
CAGL0B02948g	18	29	117	152	186
CAGL0B02970g	92	68	928	1049	1345
CAGL0B02981g	182	177	838	1004	1199
CAGL0B03014g	217	238	859	1134	1431
CAGL0B03047g	7459	8568	2756	3249	4162
CAGL0B03069g	2349	2858	8282	11188	14367
CAGL0B03091g	229	280	120	124	159
CAGL0B03113g	154	223	311	457	531
CAGL0B03179g	329	398	347	482	563
CAGL0B03201g	70	94	436	556	648
CAGL0B03245g	1836	2196	1402	1678	2170
CAGL0B03267g	296	385	625	678	1002
CAGL0B03289g	198	260	225	313	366
CAGL0B03311g	37	65	440	583	704
CAGL0B03333g	547	661	457	551	723
CAGL0B03355g	129	173	127	159	219
CAGL0B03377g	190	247	260	356	434
CAGL0B03399g	548	697	705	803	976
CAGL0B03421g	222	310	278	392	500
CAGL0B03443g	142	186	479	638	775
CAGL0B03465g	60	86	711	944	1229
CAGL0B03487g	25574	32395	9184	11704	15163
CAGL0B03509g	812	1023	3162	3991	4995
CAGL0B03520r	4	1	5	5	6
CAGL0B03531g	20	24	142	191	277
CAGL0B03553g	947	1147	1621	1674	2007
CAGL0B03575g	336	452	295	328	439
CAGL0B03597g	412	533	713	1095	1404
CAGL0B03608g	84	123	299	395	518
CAGL0B03619g	229	296	2714	3787	4887
CAGL0B03641g	215	315	168	204	254
CAGL0B03663g	93	97	19	38	50
CAGL0B03685g	2712	3034	8403	11264	14426
CAGL0B03707g	287	413	216	249	342
CAGL0B03773g	1061	1342	1083	1483	1893
CAGL0B03795g	1730	2210	344	448	570
CAGL0B03817g	137	174	1733	2546	3404
CAGL0B03839g	90	87	152	218	263
CAGL0B03855g	282	345	282	367	475
CAGL0B03861g	72	124	58	86	118
CAGL0B03883g	329	487	285	431	576
CAGL0B03899g	25	29	60	75	93
CAGL0B03905g	231	299	278	318	456
CAGL0B03927g	1027	1157	195	266	331
CAGL0B03949g	87	81	87	106	172
CAGL0B03971g	227	276	402	535	664
CAGL0B03993g	3083	3755	470	544	687
CAGL0B04015g	434	510	389	537	616
CAGL0B04037g	257	311	448	727	1026
CAGL0B04059g	138	164	744	942	1213
CAGL0B04103g	109	153	260	337	495
CAGL0B04125g	1423	1955	57	79	94
CAGL0B04147g	424	589	303	365	540
CAGL0B04169g	734	1048	93	123	151
CAGL0B04191g	531	728	521	691	978
CAGL0B04213g	45	108	99	222	229
CAGL0B04235g	14	16	16	17	31
CAGL0B04257g	22254	26513	1005	1285	1804
CAGL0B04279g	222	362	91	157	177
CAGL0B04301g	252	325	241	423	448
CAGL0B04323g	266	327	1963	2751	3765
CAGL0B04345g	3394	4183	1030	1434	1802
CAGL0B04367g	103	144	906	1061	1362
CAGL0B04389g	351	395	405	530	605
CAGL0B04411g	121	152	228	319	402
CAGL0B04433g	573	631	143	181	217
CAGL0B04455g	19	21	10	12	10
CAGL0B04477g	184	198	251	363	401
CAGL0B04499g	766	946	1168	1424	1910
CAGL0B04521g	699	961	1324	2355	2865
CAGL0B04543g	298	404	362	529	780
CAGL0B04565g	2238	3072	2620	3409	4249
CAGL0B04587g	1010	1307	613	918	1029
CAGL0B04609g	247	309	163	227	250
CAGL0B04631g	728	877	1087	1571	2015
CAGL0B04675g	57	71	133	189	261
CAGL0B04697g	665	784	488	574	732
CAGL0B04719g	64	105	118	140	216
CAGL0B04741g	188	252	402	460	640
CAGL0B04763g	149	188	215	344	462
CAGL0B04785g	50	86	38	71	104
CAGL0B04807g	1001	1270	968	1436	1969
CAGL0B04829g	174	275	283	392	491
CAGL0B04851g	591	778	626	846	1045
CAGL0B04873g	196	282	159	178	225
CAGL0B04895g	193	220	265	295	349
CAGL0B04917g	73	120	887	1234	1746
CAGL0B04939g	40	64	155	233	317
CAGL0B04961g	913	1149	180	231	369
CAGL0B04983g	201	242	386	467	603
CAGL0B05049g	333	399	454	571	717
CAGL0C00110g	13	62	61	59	76
CAGL0C00209g	3	1	18	15	23
CAGL0C00231g	4	7	3	7	8
CAGL0C00275g	210	411	7309	8104	11241
CAGL0C00297g	424	522	226	282	367
CAGL0C00319g	488	625	2032	2834	3662
CAGL0C00341g	328	392	243	275	348
CAGL0C00363g	444	588	1127	1429	1526
CAGL0C00385g	429	508	396	555	613
CAGL0C00407g	186	190	440	739	846
CAGL0C00429g	232	323	625	848	1119
CAGL0C00451g	320	345	1786	2308	3064
CAGL0C00473g	325	416	378	631	796
CAGL0C00495g	180	236	156	172	190
CAGL0C00517g	300	365	277	341	419
CAGL0C00539g	213	266	866	1134	1516
CAGL0C00561g	172	197	177	202	263
CAGL0C00583g	369	480	183	242	342
CAGL0C00605g	127	172	177	218	267
CAGL0C00627g	144	219	382	476	615
CAGL0C00649g	1332	1677	3082	4187	5333
CAGL0C00671g	180	251	548	1408	1784
CAGL0C00693g	649	848	2444	3017	3734
CAGL0C00715g	281	344	90	120	120
CAGL0C00737g	824	1095	113	146	193
CAGL0C00759g	475	696	125	180	225
CAGL0C00781g	1	3	3	4	2
CAGL0C00847g	86	111	110	171	189
CAGL0C00946g	4	3	6	3	12
CAGL0C00968g	42	62	47	124	126
CAGL0C01056g	29	34	41	80	121
CAGL0C01067g	46	42	51	91	145
CAGL0C01078g	17	8	10	11	24
CAGL0C01133g	167	197	179	405	488
CAGL0C01155g	110	142	208	302	384
CAGL0C01177g	379	549	467	601	721
CAGL0C01199g	426	575	353	469	539
CAGL0C01221g	1067	1428	233	310	401
CAGL0C01243g	745	884	1607	1822	2396
CAGL0C01265g	496	665	584	760	856
CAGL0C01287g	287	354	127	155	187
CAGL0C01309g	277	331	243	381	466
CAGL0C01325g	1120	1668	4661	6922	8834
CAGL0C01331g	414	526	171	231	289
CAGL0C01353g	637	832	1328	1843	2335
CAGL0C01375g	317	437	1207	1597	2147
CAGL0C01397g	9	18	227	304	381
CAGL0C01419g	218	309	52	69	71
CAGL0C01435g	132	176	137	207	216
CAGL0C01441g	921	1078	201	254	323
CAGL0C01463g	144	171	250	384	425
CAGL0C01485g	393	509	552	757	898
CAGL0C01507g	255	341	518	817	934
