Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,C11,Experiment,None,,High_ROS,BL1-H,,14827,146,101.555,18.811,48.861,8242,N/A,1424,N/A,1013,N/A,16370.11,N/A,198.61,N/A,492.22,N/A,34.57
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,C12,Experiment,None,,High_ROS,BL1-H,,13467,177,76.085,15.74,44.596,10475,N/A,1637,N/A,1082,N/A,16195.53,N/A,154.61,N/A,868.8,N/A,53.07
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,D11,Experiment,None,,High_ROS,BL1-H,,19815,138,143.587,26.386,65.194,26043,N/A,17495,N/A,47828,N/A,26260.83,N/A,100.84,N/A,24132.28,N/A,137.94
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,D12,Experiment,None,,High_ROS,BL1-H,,20705,188,110.133,23.615,68.257,28021,N/A,28326,N/A,46673,N/A,21994.32,N/A,78.49,N/A,27643.08,N/A,97.59
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,E11,Experiment,None,,High_ROS,BL1-H,,24279,137,177.219,32.513,80.044,39264,N/A,40186,N/A,51516,N/A,25289.28,N/A,64.41,N/A,26375.45,N/A,65.63
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,E12,Experiment,None,,High_ROS,BL1-H,,25451,193,131.87,29.374,84.42,35257,N/A,34661,N/A,40243,N/A,21142.82,N/A,59.97,N/A,20445.05,N/A,58.99
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,H11,Experiment,None,,High_ROS,BL1-H,,3628,107,33.907,4.259,11.958,1359,N/A,1152,N/A,1012,N/A,1864.88,N/A,137.26,N/A,148.26,N/A,12.87
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,H12,Experiment,None,,High_ROS,BL1-H,,4116,163,25.252,4.312,13.576,1516,N/A,1170,N/A,1035,N/A,3038.16,N/A,200.44,N/A,171.98,N/A,14.7
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A4.fcs,A4,Experiment,None,,High_ROS,BL1-H,,6585,85,77.471,9.314,21.95,1353,N/A,1195,N/A,1048,N/A,4126.83,N/A,304.92,N/A,191.26,N/A,16
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B4.fcs,B4,Experiment,None,,High_ROS,BL1-H,,2992,83,36.048,4.553,9.973,1386,N/A,1144,N/A,1012,N/A,2625.41,N/A,189.49,N/A,148.26,N/A,12.96
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,C4.fcs,C4,Experiment,None,,High_ROS,BL1-H,,7040,92,76.522,9.862,23.467,1353,N/A,1197,N/A,1035,N/A,2053.72,N/A,151.79,N/A,191.26,N/A,15.98
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,D4.fcs,D4,Experiment,None,,High_ROS,BL1-H,,8664,97,89.32,13.613,28.88,1354,N/A,1229,N/A,1012,N/A,1037.79,N/A,76.66,N/A,223.87,N/A,18.22
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,E4.fcs,E4,Experiment,None,,High_ROS,BL1-H,,8842,120,73.683,15.786,29.473,1427,N/A,1208,N/A,1013,N/A,3519.72,N/A,246.68,N/A,194.22,N/A,16.08
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,F4.fcs,F4,Experiment,None,,High_ROS,BL1-H,,6072,136,44.647,10.717,20.24,1568,N/A,1190,N/A,1012,N/A,4842.58,N/A,308.77,N/A,188.29,N/A,15.82
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,G4.fcs,G4,Experiment,None,,High_ROS,BL1-H,,14032,151,92.927,24.589,46.773,52224,N/A,37463,N/A,97395,N/A,51435.27,N/A,98.49,N/A,49907.28,N/A,133.22
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,H4.fcs,H4,Experiment,None,,High_ROS,BL1-H,,2634,108,24.389,4.07,8.78,1356,N/A,1146,N/A,1047,N/A,2864.65,N/A,211.24,N/A,139.36,N/A,12.16
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,A6.fcs,A6,Experiment,None,,High_ROS,BL1-H,,5548,84,66.048,8.34,18.493,1280,N/A,1174,N/A,1012,N/A,958.45,N/A,74.87,N/A,170.5,N/A,14.52
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,B6.fcs,B6,Experiment,None,,High_ROS,BL1-H,,4191,86,48.733,6.605,13.97,1417,N/A,1165,N/A,1013,N/A,3263.4,N/A,230.3,N/A,163.09,N/A,14
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,C6.fcs,C6,Experiment,None,,High_ROS,BL1-H,,9637,99,97.343,14.794,32.123,1406,N/A,1237,N/A,1012,N/A,1799.67,N/A,127.98,N/A,226.84,N/A,18.34
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,D6.fcs,D6,Experiment,None,,High_ROS,BL1-H,,10820,120,90.167,16.491,36.067,1365,N/A,1240,N/A,1035,N/A,1342.51,N/A,98.38,N/A,228.32,N/A,18.41
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,E6.fcs,E6,Experiment,None,,High_ROS,BL1-H,,8734,129,67.705,13.913,29.113,1429,N/A,1205,N/A,1012,N/A,3991.31,N/A,279.23,N/A,197.19,N/A,16.36
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,F6.fcs,F6,Experiment,None,,High_ROS,BL1-H,,6718,139,48.331,11.416,22.393,1616,N/A,1208,N/A,1012,N/A,4055.08,N/A,250.97,N/A,205.34,N/A,17.01
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,G6.fcs,G6,Experiment,None,,High_ROS,BL1-H,,13318,143,93.133,23.306,44.393,45101,N/A,29035,N/A,66179,N/A,47355.41,N/A,105,N/A,40666.23,N/A,140.06
