Plate,Sample,Treatment,Species,Gate,X Parameter,Count,%Total,%Gated,X Mean,X Median,X Peak,X SD,X %CV,X rSD,X %rCV
d032623-DCFCA-R7,H6,Ctrl,Cg,High_ROS,BL1-H,2527,4.245,8.423,1245,1136,1012,659.28,52.97,131.95,11.62
d032523-DCFCA-R6,A4,0Pi,Cg,High_ROS,BL1-H,11768,16.992,39.227,1502,1330,1012,579.33,38.57,330.62,24.86
d032523-DCFCA-R6,B4,0Pi,Cg,High_ROS,BL1-H,4686,6.465,15.62,1427,1239,1048,946.15,66.31,249.82,20.17
d032523-DCFCA-R6,C4,0.2mM,Cg,High_ROS,BL1-H,6122,7.085,20.407,1408,1229,1012,1392.2,98.86,235.73,19.18
d032523-DCFCA-R6,D4,0.2mM,Cg,High_ROS,BL1-H,8985,10.54,29.95,1408,1261,1013,1449.79,102.98,257.97,20.46
d032523-DCFCA-R6,E4,1mM,Cg,High_ROS,BL1-H,7460,10.873,24.867,1336,1213,1013,875.06,65.52,210.53,17.36
d032523-DCFCA-R6,F4,1mM,Cg,High_ROS,BL1-H,4774,7.601,15.913,1371,1186,1035,2060.19,150.22,191.26,16.13
d032523-DCFCA-R6,G4,2mM,Cg,High_ROS,BL1-H,9663,16.131,32.21,10674,4372,1012,14493.36,135.78,4714.67,107.84
d032523-DCFCA-R6,H4,2mM,Cg,High_ROS,BL1-H,2613,3.773,8.71,1339,1163,1025,907.15,67.74,161.6,13.9
d032523-DCFCA-R6,A6,10mM,Cg,High_ROS,BL1-H,7049,10.833,23.497,1344,1202,1011,3194.11,237.59,201.63,16.77
d032523-DCFCA-R6,B6,10mM,Cg,High_ROS,BL1-H,3024,4.777,10.08,1282,1167,1012,781.24,60.95,164.57,14.1
d032523-DCFCA-R6,C6,20mM,Cg,High_ROS,BL1-H,6080,8.834,20.267,1389,1201,1013,2499.69,179.93,200.15,16.67
d032523-DCFCA-R6,D6,20mM,Cg,High_ROS,BL1-H,10751,14.111,35.837,1388,1271,1048,942.27,67.86,260.94,20.53
d032523-DCFCA-R6,E6,100mM,Cg,High_ROS,BL1-H,7354,12.86,24.513,1317,1194,1012,923.21,70.1,192.74,16.14
d032523-DCFCA-R6,F6,100mM,Cg,High_ROS,BL1-H,4938,8.682,16.46,1363,1184,1013,1140.6,83.69,191.26,16.15
d032523-DCFCA-R6,G6,Ctrl,Cg,High_ROS,BL1-H,9086,17.891,30.287,10007,4119,1013,13152.06,131.43,4410.73,107.08
d032523-DCFCA-R6,H6,Ctrl,Cg,High_ROS,BL1-H,2368,3.653,7.893,1345,1160,1034,1316.73,97.93,166.05,14.31
d032523-DCFCA-R6,A11,0Pi,Sc,High_ROS,BL1-H,5914,6.751,19.713,1766,1202,1013,2513.18,142.3,212.01,17.64
