Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d041823-0min-tpd3-tip41-R2,0min,0min,H3.fcs,H3,Experiment,None,,cell,FSC-H,FSC-W,27333,75,364.440,91.110,91.110,562065,108,538705,101,482391,87,163601.38,28.56,29.11,26.39,174153.61,22.24,32.33,22.02
d041823-120min-tpd3-tip41-R2,120min,120min,A5.fcs,A5,Experiment,None,N/A,All Events,N/A,N/A,30000,56,535.714,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041823-120min-tpd3-tip41-R2,120min,120min,A5.fcs,A5,Experiment,None,,cell,FSC-H,SSC-H,24431,56,436.268,81.437,81.437,685922,178779,711411,174312,756719,158747,155659.46,52726.33,22.69,29.49,154824.95,51372.09,21.76,29.47
d041823-120min-tpd3-tip41-R2,120min,120min,A5.fcs,A5,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,7399,56,132.125,24.663,99.529,589449,619085,596134,628089,562056,643978,126550.79,150151.58,21.47,24.25,139988.57,167492.28,23.48,26.67
d041823-120min-tpd3-tip41-R2,120min,120min,A5.fcs,A5,Experiment,None,,single cell,FSC-H,FSC-A,7434,56,132.750,24.780,24.780,590602,620363,596932,629319,562056,643978,127372.64,150985.84,21.57,24.34,140830.69,168462.65,23.59,26.77
d041823-120min-tpd3-tip41-R2,120min,120min,A5.fcs,A5,Experiment,None,,CTA1-GFP,BL1-H,,7399,56,132.125,24.663,24.663,14571,N/A,13942,N/A,16090,N/A,5912.58,N/A,40.58,N/A,5377.39,N/A,38.57,N/A
d041823-120min-tpd3-tip41-R2,120min,120min,A5.fcs,A5,Experiment,None,,single cell,FSC-H,FSC-W,7434,56,132.750,24.780,30.429,590602,93,596932,93,562056,87,127372.64,9.41,21.57,10.09,140830.69,10.38,23.59,11.16
d041823-120min-tpd3-tip41-R2,120min,120min,A5.fcs,A5,Experiment,None,,cell,FSC-H,FSC-W,24431,56,436.268,81.437,81.437,685922,128,711411,122,756719,100,155659.46,38.30,22.69,29.87,154824.95,35.58,21.76,29.17
d041823-120min-tpd3-tip41-R2,120min,120min,A6.fcs,A6,Experiment,None,N/A,All Events,N/A,N/A,30000,51,588.235,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041823-120min-tpd3-tip41-R2,120min,120min,A6.fcs,A6,Experiment,None,,cell,FSC-H,SSC-H,24425,51,478.922,81.417,81.417,662366,169611,687557,166183,756565,168994,168395.58,54513.84,25.42,32.14,173929.73,53354.33,25.30,32.11
d041823-120min-tpd3-tip41-R2,120min,120min,A6.fcs,A6,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,7930,51,155.490,26.433,99.736,559822,583728,564537,589968,576532,588944,129723.29,153786.03,23.17,26.35,143908.57,173407.12,25.49,29.39
d041823-120min-tpd3-tip41-R2,120min,120min,A6.fcs,A6,Experiment,None,,single cell,FSC-H,FSC-A,7951,51,155.902,26.503,26.503,560526,584498,565083,590580,576532,588944,130281.92,154332.40,23.24,26.40,144077.58,173855.60,25.50,29.44
d041823-120min-tpd3-tip41-R2,120min,120min,A6.fcs,A6,Experiment,None,,CTA1-GFP,BL1-H,,7930,51,155.490,26.433,26.433,13217,N/A,12536,N/A,13642,N/A,5831.27,N/A,44.12,N/A,5263.97,N/A,41.99,N/A
d041823-120min-tpd3-tip41-R2,120min,120min,A6.fcs,A6,Experiment,None,,single cell,FSC-H,FSC-W,7951,51,155.902,26.503,32.553,560526,92,565083,92,576532,93,130281.92,9.59,23.24,10.41,144077.58,10.38,25.50,11.28
d041823-120min-tpd3-tip41-R2,120min,120min,A6.fcs,A6,Experiment,None,,cell,FSC-H,FSC-W,24425,51,478.922,81.417,81.417,662366,124,687557,118,756565,93,168395.58,37.09,25.42,29.88,173929.73,32.62,25.30,27.64
d041823-120min-tpd3-tip41-R2,120min,120min,A7.fcs,A7,Experiment,None,N/A,All Events,N/A,N/A,30000,43,697.674,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041823-120min-tpd3-tip41-R2,120min,120min,A7.fcs,A7,Experiment,None,,cell,FSC-H,SSC-H,22110,43,514.186,73.700,73.700,644132,150908,667097,140085,717815,115703,174684.16,58213.75,27.12,38.58,185428.78,56373.64,27.80,40.24
d041823-120min-tpd3-tip41-R2,120min,120min,A7.fcs,A7,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,7038,43,163.674,23.460,99.632,542916,567285,542208,567823,615416,564044,128310.70,148955.64,23.63,26.26,145479.38,169604.25,26.83,29.87
d041823-120min-tpd3-tip41-R2,120min,120min,A7.fcs,A7,Experiment,None,,single cell,FSC-H,FSC-A,7064,43,164.279,23.547,23.547,543907,568473,542900,569371,615416,564044,129119.50,149997.12,23.74,26.39,145625.42,169876.30,26.82,29.84
d041823-120min-tpd3-tip41-R2,120min,120min,A7.fcs,A7,Experiment,None,,CTA1-GFP,BL1-H,,7038,43,163.674,23.460,23.460,4200,N/A,3791,N/A,3824,N/A,2710.76,N/A,64.54,N/A,1889.57,N/A,49.85,N/A
d041823-120min-tpd3-tip41-R2,120min,120min,A7.fcs,A7,Experiment,None,,single cell,FSC-H,FSC-W,7064,43,164.279,23.547,31.949,543907,92,542900,91,615416,86,129119.50,9.28,23.74,10.09,145625.42,10.38,26.82,11.40
d041823-120min-tpd3-tip41-R2,120min,120min,A7.fcs,A7,Experiment,None,,cell,FSC-H,FSC-W,22110,43,514.186,73.700,73.700,644132,124,667097,117,717815,101,174684.16,38.75,27.12,31.26,185428.78,32.62,27.80,27.88
d041823-120min-tpd3-tip41-R2,120min,120min,A8.fcs,A8,Experiment,None,N/A,All Events,N/A,N/A,30000,36,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041823-120min-tpd3-tip41-R2,120min,120min,A8.fcs,A8,Experiment,None,,cell,FSC-H,SSC-H,22322,36,620.056,74.407,74.407,632755,145347,659993,133215,711749,115660,183430.04,56094.65,28.99,38.59,190008.53,50265.33,28.79,37.73
d041823-120min-tpd3-tip41-R2,120min,120min,A8.fcs,A8,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,7000,36,194.444,23.333,99.658,537996,561855,536103,561045,551772,590791,127881.96,148964.31,23.77,26.51,141894.45,170850.37,26.47,30.45
d041823-120min-tpd3-tip41-R2,120min,120min,A8.fcs,A8,Experiment,None,,single cell,FSC-H,FSC-A,7024,36,195.111,23.413,23.413,539003,562929,536829,561778,551772,590791,128829.09,149860.27,23.90,26.62,141991.56,171424.14,26.45,30.51
d041823-120min-tpd3-tip41-R2,120min,120min,A8.fcs,A8,Experiment,None,,CTA1-GFP,BL1-H,,7000,36,194.444,23.333,23.333,3623,N/A,3256,N/A,3943,N/A,2231.21,N/A,61.58,N/A,1627.89,N/A,50.00,N/A
d041823-120min-tpd3-tip41-R2,120min,120min,A8.fcs,A8,Experiment,None,,single cell,FSC-H,FSC-W,7024,36,195.111,23.413,31.467,539003,91,536829,90,551772,87,128829.09,9.17,23.90,10.05,141991.56,10.38,26.45,11.53
d041823-120min-tpd3-tip41-R2,120min,120min,A8.fcs,A8,Experiment,None,,cell,FSC-H,FSC-W,22322,36,620.056,74.407,74.407,632755,123,659993,116,711749,87,183430.04,40.01,28.99,32.50,190008.53,34.10,28.79,29.40
d041823-120min-tpd3-tip41-R2,120min,120min,B5.fcs,B5,Experiment,None,N/A,All Events,N/A,N/A,30000,59,508.475,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041823-120min-tpd3-tip41-R2,120min,120min,B5.fcs,B5,Experiment,None,,cell,FSC-H,SSC-H,24628,59,417.424,82.093,82.093,687733,178157,712488,173636,775165,166879,157140.97,53426.15,22.85,29.99,157816.84,52792.42,22.15,30.40
d041823-120min-tpd3-tip41-R2,120min,120min,B5.fcs,B5,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,7516,59,127.390,25.053,99.536,593549,619825,600894,628258,580621,603174,125434.07,148061.75,21.13,23.89,136835.82,162773.17,22.77,25.91
d041823-120min-tpd3-tip41-R2,120min,120min,B5.fcs,B5,Experiment,None,,single cell,FSC-H,FSC-A,7551,59,127.983,25.170,25.170,594696,621115,601579,629055,580621,603174,126287.64,148946.22,21.24,23.98,137711.30,163729.45,22.89,26.03
d041823-120min-tpd3-tip41-R2,120min,120min,B5.fcs,B5,Experiment,None,,CTA1-GFP,BL1-H,,7516,59,127.390,25.053,25.053,14336,N/A,13705,N/A,13904,N/A,5580.39,N/A,38.93,N/A,5050.48,N/A,36.85,N/A
