Date,Species,Strain,Genotype,Len_1,Len_2,H2O2,Dilutions,Count_MO_MM,MO/MM,PO/PM,MO/MM_percent,PO/PM_percent,ASR_score,Experimenter
d081122,yH001,Cg,wt,45min,2hr,20mM,1000,128,0.1792717087,0.2860696517,17.92717087,28.60696517,1.595732276,JL
d081122,yH001,Cg,wt,45min,2hr,40mM,1000,72,0.1008403361,0.3109452736,10.08403361,31.09452736,3.08354063,JL
d081122,yH001,Cg,wt,45min,2hr,60mM,1000,31,0.04341736695,0.2512437811,4.341736695,25.12437811,5.786711603,JL
d081122,yH001,Cg,wt,45min,2hr,80mM,1000,14,0.01960784314,0.1666666667,1.960784314,16.66666667,8.5,JL
d081122,yH001,Cg,wt,45min,2hr,100mM,1000,8,0.01120448179,0.1368159204,1.120448179,13.68159204,12.2108209,JL
d081122,yH154,Sc,wt,45min,2hr,Mock,1000,291,1,1,100,100,1,JL
d081122,yH154,Sc,wt,45min,2hr,2mM,1000,13,0.04467353952,0.0703125,4.467353952,7.03125,1.573918269,JL
d081122,yH154,Sc,wt,45min,2hr,4mM,1000,11,0.03780068729,0.0546875,3.780068729,5.46875,1.446732955,JL
d081122,yH154,Sc,wt,45min,2hr,6mM,1000,9,0.03092783505,0.04296875,3.092783505,4.296875,1.389322917,JL
d081122,yH154,Sc,wt,45min,2hr,8mM,500,11,0.01890034364,0.025390625,1.890034364,2.5390625,1.343394886,JL
d081122,yH154,Sc,wt,45min,2hr,10mM,500,7,0.01202749141,0.005859375,1.202749141,0.5859375,0.4871651786,JL
d090122,yH181,Cg,wt,45min,2hr,Mock,1000,965,1,1,100,100,1,HT
d090122,yH181,Cg,wt,45min,2hr,15mM,1000,219,0.2269430052,0.3802228412,22.69430052,38.02228412,1.67541115,HT
d090122,yH181,Cg,wt,45min,2hr,20mM,1000,173,0.1792746114,0.3676880223,17.92746114,36.76880223,2.050976541,HT
d090122,yH181,Cg,wt,45min,2hr,25mM,1000,180,0.1865284974,0.3467966574,18.65284974,34.67966574,1.859215413,HT
d090122,yH181,Cg,wt,45min,2hr,30mM,1000,150,0.1554404145,0.3077994429,15.54404145,30.77994429,1.980176416,HT
d090122,yH181,Cg,wt,45min,2hr,35mM,1000,89,0.09222797927,0.2813370474,9.222797927,28.13370474,3.050452256,HT
d090122,yH154,Sc,wt,45min,2hr,Mock,1000,268,1,1,100,100,1,HT
d090122,yH154,Sc,wt,45min,2hr,1.5mM,1000,36,0.1343283582,0.1085972851,13.43283582,10.85972851,0.8084464557,HT
d090122,yH154,Sc,wt,45min,2hr,2mM,1000,25,0.09328358209,0.1402714932,9.328358209,14.02714932,1.503710407,HT
d090122,yH154,Sc,wt,45min,2hr,2.5mM,1000,48,0.1791044776,0.1131221719,17.91044776,11.31221719,0.6315987931,HT
d090122,yH154,Sc,wt,45min,2hr,3mM,1000,21,0.07835820896,0.1176470588,7.835820896,11.76470588,1.50140056,HT
d090122,yH154,Sc,wt,45min,2hr,3.5mM,1000,10,0.03731343284,0.0814479638,3.731343284,8.14479638,2.18280543,HT
d090122,yH149,Kl,wt,45min,2hr,Mock,1000,336,1,1,100,100,1,HT
d090122,yH149,Kl,wt,45min,2hr,1.5mM,1000,17,0.0505952381,0.1288343558,5.05952381,12.88343558,2.54637315,HT
d090122,yH149,Kl,wt,45min,2hr,2mM,1000,4,0.0119047619,0.0490797546,1.19047619,4.90797546,4.122699386,HT
d090122,yH149,Kl,wt,45min,2hr,2.5mM,1000,8,0.02380952381,0.0981595092,2.380952381,9.81595092,4.122699386,HT
d090122,yH149,Kl,wt,45min,2hr,3mM,1000,5,0.01488095238,0.1165644172,1.488095238,11.65644172,7.833128836,HT
d090122,yH149,Kl,wt,45min,2hr,3.5mM,1000,7,0.02083333333,0.07975460123,2.083333333,7.975460123,3.828220859,HT
d090222,yH181,Cg,wt,45min,2hr,Mock,1000,348,1,1,100,100,1,HT
d090222,yH181,Cg,wt,45min,2hr,15mM,1000,148,0.4252873563,0.375,42.52873563,37.5,0.8817567568,HT
d090222,yH181,Cg,wt,45min,2hr,20mM,1000,84,0.2413793103,0.4410714286,24.13793103,44.10714286,1.827295918,HT
d090222,yH181,Cg,wt,45min,2hr,25mM,1000,107,0.3074712644,0.4160714286,30.74712644,41.60714286,1.353204272,HT
d090222,yH181,Cg,wt,45min,2hr,30mM,1000,77,0.2212643678,0.3767857143,22.12643678,37.67857143,1.702875696,HT
d090222,yH181,Cg,wt,45min,2hr,35mM,1000,36,0.1034482759,0.3482142857,10.34482759,34.82142857,3.366071428,HT
d090222,yH154,Sc,wt,45min,2hr,Mock,1000,297,1,1,100,100,1,HT
d090222,yH154,Sc,wt,45min,2hr,1.5mM,1000,19,0.06397306397,0.09923664122,6.397306397,9.923664122,1.551225392,HT
d090222,yH154,Sc,wt,45min,2hr,2mM,1000,30,0.101010101,0.2175572519,10.1010101,21.75572519,2.153816794,HT
d090222,yH154,Sc,wt,45min,2hr,2.5mM,1000,35,0.1178451178,0.1297709924,11.78451178,12.97709924,1.101199564,HT
d090222,yH154,Sc,wt,45min,2hr,3mM,1000,15,0.05050505051,0.0572519084,5.050505051,5.72519084,1.133587786,HT
d090222,yH154,Sc,wt,45min,2hr,3.5mM,1000,3,0.0101010101,0.106870229,1.01010101,10.6870229,10.58015267,HT
d090222,yH149,Kl,wt,45min,2hr,Mock,1000,281,1,1,100,100,1,HT
d090222,yH149,Kl,wt,45min,2hr,1.5mM,1000,17,0.06049822064,0.2149122807,6.049822064,21.49122807,3.552373581,HT
d090222,yH149,Kl,wt,45min,2hr,2mM,1000,25,0.08896797153,0.1578947368,8.896797153,15.78947368,1.774736842,HT
d090222,yH149,Kl,wt,45min,2hr,2.5mM,1000,20,0.07117437722,0.1184210526,7.117437722,11.84210526,1.663815789,HT
d090222,yH149,Kl,wt,45min,2hr,3mM,1000,14,0.04982206406,0.1710526316,4.982206406,17.10526316,3.433270677,HT
d090222,yH149,Kl,wt,45min,2hr,3.5mM,1000,11,0.03914590747,0.1359649123,3.914590747,13.59649123,3.473285487,HT
d091222,yH181,Cg,wt,45min,2hr,Mock,1000,348,1,1,100,100,1,HT
d091222,yH181,Cg,wt,45min,2hr,15mM,1000,148,0.4252873563,0.375,42.52873563,37.5,0.8817567568,HT
d091222,yH181,Cg,wt,45min,2hr,20mM,1000,84,0.2413793103,0.4410714286,24.13793103,44.10714286,1.827295918,HT
d091222,yH181,Cg,wt,45min,2hr,25mM,1000,107,0.3074712644,0.4160714286,30.74712644,41.60714286,1.353204272,HT
d091222,yH181,Cg,wt,45min,2hr,30mM,1000,77,0.2212643678,0.3767857143,22.12643678,37.67857143,1.702875696,HT
d091222,yH181,Cg,wt,45min,2hr,35mM,1000,36,0.1034482759,0.3482142857,10.34482759,34.82142857,3.366071428,HT
d091222,yH154,Sc,wt,45min,2hr,Mock,1000,297,1,1,100,100,1,HT
d091222,yH154,Sc,wt,45min,2hr,1.5mM,1000,19,0.06397306397,0.09923664122,6.397306397,9.923664122,1.551225392,HT
