# Date: The experiments conducted date
# Strain: lab strain ID
# Species: Cg - C. glabrata; Sc - S. cerevisiae
# Genotype: wt - wild type strains without any genetic manipulation
# Group: treatment type; MM - Mock treatment as the primary stress and secondary stress; MO - Mock treatment as the primary stress and H2O2 stress as the secondary stress; PM: Phosphate starvation as the primary stress and mock treatment as the secondary stress; PO: phosphate starvation as the primary stress and H2O2 as the secondarys tress,,,,,,,,,,,,
# Len_1: Primary stress treatment time
# Len_2: Secondaty stress treatment time
# H2O2: H2O2 stress concentration in mM; Mock - 0mM
# Dilutions: the final dilutions for the culture used for CFU Count
# Count: CFU count
# MO/MM: survival rate on H2O2 stress without the primary stress (calculated from the corresponding MO count)
# PO/PM: survival rate on H2O2 stress with phosphate starvation as the primary stress (calculated from the corresponding PO count)
# Experimenter: the person who did the experiments
Date,Strain,Species,Genotype,Group,Len_1,Len_2,H2O2,Dilutions,Count,MO/MM,PO/PM,Experimenter
d090122,yH181,Cg,wt,PM,45min,2hr,Mock,1000,718,,1,HT
d090122,yH181,Cg,wt,PO,45min,2hr,15mM,1000,273,,0.380222841,HT
d090122,yH181,Cg,wt,PO,45min,2hr,20mM,1000,264,,0.367688022,HT
d090122,yH181,Cg,wt,PO,45min,2hr,25mM,1000,249,,0.346796657,HT
d090122,yH181,Cg,wt,PO,45min,2hr,30mM,1000,221,,0.307799443,HT
d090122,yH181,Cg,wt,PO,45min,2hr,35mM,1000,202,,0.281337047,HT
d090122,yH154,Sc,wt,MM,45min,2hr,Mock,1000,268,1,,HT
d090122,yH154,Sc,wt,MO,45min,2hr,1.5mM,1000,36,0.134328358,,HT
d090122,yH154,Sc,wt,MO,45min,2hr,2mM,1000,25,0.093283582,,HT
d090122,yH154,Sc,wt,MO,45min,2hr,2.5mM,1000,48,0.179104478,,HT
d090122,yH154,Sc,wt,MO,45min,2hr,3mM,1000,21,0.078358209,,HT
d090122,yH154,Sc,wt,MO,45min,2hr,3.5mM,1000,10,0.037313433,,HT
d090122,yH154,Sc,wt,PM,45min,2hr,Mock,1000,221,,1,HT
d090122,yH154,Sc,wt,PO,45min,2hr,1.5mM,1000,24,,0.108597285,HT
d090122,yH154,Sc,wt,PO,45min,2hr,2mM,1000,31,,0.140271493,HT
d090122,yH154,Sc,wt,PO,45min,2hr,2.5mM,1000,25,,0.113122172,HT
d090122,yH154,Sc,wt,PO,45min,2hr,3mM,1000,26,,0.117647059,HT
d090122,yH154,Sc,wt,PO,45min,2hr,3.5mM,1000,18,,0.081447964,HT
d090122,yH149,Kl,wt,MM,45min,2hr,Mock,1000,336,1,,HT
d090122,yH149,Kl,wt,MO,45min,2hr,1.5mM,1000,17,0.050595238,,HT
d090122,yH149,Kl,wt,MO,45min,2hr,2mM,1000,4,0.011904762,,HT
d090122,yH149,Kl,wt,MO,45min,2hr,2.5mM,1000,8,0.023809524,,HT
d090122,yH149,Kl,wt,MO,45min,2hr,3mM,1000,5,0.014880952,,HT
d090122,yH149,Kl,wt,MO,45min,2hr,3.5mM,1000,7,0.020833333,,HT
d090122,yH149,Kl,wt,PM,45min,2hr,Mock,1000,163,,1,HT
d090122,yH149,Kl,wt,PO,45min,2hr,1.5mM,1000,21,,0.128834356,HT
d090122,yH149,Kl,wt,PO,45min,2hr,2mM,1000,8,,0.049079755,HT
d090122,yH149,Kl,wt,PO,45min,2hr,2.5mM,1000,16,,0.098159509,HT
d090122,yH149,Kl,wt,PO,45min,2hr,3mM,1000,19,,0.116564417,HT
d090122,yH149,Kl,wt,PO,45min,2hr,3.5mM,1000,13,,0.079754601,HT
d090222,yH181,Cg,wt,MM,45min,2hr,Mock,1000,348,1,,HT
d090222,yH181,Cg,wt,MO,45min,2hr,15mM,1000,148,0.425287356,,HT
d090222,yH181,Cg,wt,MO,45min,2hr,20mM,1000,84,0.24137931,,HT
d090222,yH181,Cg,wt,MO,45min,2hr,25mM,1000,107,0.307471264,,HT
d090222,yH181,Cg,wt,MO,45min,2hr,30mM,1000,77,0.221264368,,HT
d090222,yH181,Cg,wt,MO,45min,2hr,35mM,1000,36,0.103448276,,HT
d090222,yH181,Cg,wt,PM,45min,2hr,Mock,1000,560,,1,HT
d090222,yH181,Cg,wt,PO,45min,2hr,15mM,1000,210,,0.375,HT
