Sample,group_name,treat,time_1_min,time_2_min,time_3_min
G6,S288C-pRS315-ScDal80pr-yeGFP,0Pi,30,120,210
H6,S288C-pRS315-ScDal80pr-yeGFP,0Pi,30,120,210
A7,Cgmsn2::ScDal80pr-yeGFP,ctrl,30,120,210
B7,Cgmsn2::ScDal80pr-yeGFP,ctrl,30,120,210
C7,Cgmsn2::ScDal80pr-yeGFP,ctrl,30,120,210
D7,K699-pRS315-ScDal80pr-yeGFP,ctrl,30,120,210
E7,K699-pRS315-ScDal80pr-yeGFP,ctrl,30,120,210
F7,K699-pRS315-ScDal80pr-yeGFP,ctrl,30,120,210
G7,S288C-pRS315-ScDal80pr-yeGFP,ctrl,30,120,210
H7,S288C-pRS315-ScDal80pr-yeGFP,ctrl,30,120,210
A8,,,,,
B8,,,,,
C8,,,,,
D8,,,,,
E8,,,,,
F8,,,,,
G8,,,,,
H8,,,,,
A9,Cgmsn2::ScDal80pr-yeGFP,0Nitrogen,60,150,240
B9,Cgmsn2::ScDal80pr-yeGFP,0Nitrogen,60,150,240
C9,Cgmsn2::ScDal80pr-yeGFP,0Nitrogen,60,150,240
D9,K699-pRS315-ScDal80pr-yeGFP,0Nitrogen,60,150,240
E9,K699-pRS315-ScDal80pr-yeGFP,0Nitrogen,60,150,240
F9,K699-pRS315-ScDal80pr-yeGFP,0Nitrogen,60,150,240
G9,S288C-pRS315-ScDal80pr-yeGFP,0Nitrogen,60,150,240
H9,S288C-pRS315-ScDal80pr-yeGFP,0Nitrogen,60,150,240
A10,Cgmsn2::ScDal80pr-yeGFP,0Pi,60,150,240
B10,Cgmsn2::ScDal80pr-yeGFP,0Pi,60,150,240
C10,Cgmsn2::ScDal80pr-yeGFP,0Pi,60,150,240
D10,K699-pRS315-ScDal80pr-yeGFP,0Pi,60,150,240
E10,K699-pRS315-ScDal80pr-yeGFP,0Pi,60,150,240
F10,K699-pRS315-ScDal80pr-yeGFP,0Pi,60,150,240
G10,S288C-pRS315-ScDal80pr-yeGFP,0Pi,60,150,240
H10,S288C-pRS315-ScDal80pr-yeGFP,0Pi,60,150,240
A11,Cgmsn2::ScDal80pr-yeGFP,ctrl,60,150,240
B11,Cgmsn2::ScDal80pr-yeGFP,ctrl,60,150,240
C11,Cgmsn2::ScDal80pr-yeGFP,ctrl,60,150,240
D11,K699-pRS315-ScDal80pr-yeGFP,ctrl,60,150,240
E11,K699-pRS315-ScDal80pr-yeGFP,ctrl,60,150,240
F11,K699-pRS315-ScDal80pr-yeGFP,ctrl,60,150,240
G11,S288C-pRS315-ScDal80pr-yeGFP,ctrl,60,150,240
H11,S288C-pRS315-ScDal80pr-yeGFP,ctrl,60,150,240
A12,,,,,
B12,,,,,
C12,,,,,
D12,,,,,
E12,,,,,
F12,,,,,
G12,,,,,
H12,,,,,
